,Country,Crime Typology,Crimes Reported,Year,Pop on 1st Jan,Crimes per 100k,Unemp Perc,Early Leavers Perc
1256,Sweden,Robbery,8974,2002,8909128.0,100.72815207055056,5.1,10.0
1257,Sweden,Robbery,8575,2003,8940788.0,95.9087722469205,5.7,9.2
1258,Sweden,Robbery,8590,2004,8975670.0,95.7031619923638,6.5,9.2
1259,Sweden,Robbery,9398,2005,9011392.0,104.2902139869179,7.5,10.8
1260,Sweden,Robbery,8584,2006,9047752.0,94.87439531941195,7.1,8.6
1261,Sweden,Robbery,8673,2007,9113257.0,95.16904878244956,6.2,8.0
1317,Belgium,Burglary of private residential premises,83315,2000,10239085.0,813.6957550406115,7.0,13.8
1318,Belgium,Burglary of private residential premises,77330,2001,10263414.0,753.4529933217153,6.6,13.8
1319,Belgium,Burglary of private residential premises,79203,2002,10309725.0,768.2358161832639,7.5,14.1
1320,Belgium,Burglary of private residential premises,63994,2003,10355844.0,617.950598715083,8.2,14.3
1321,Belgium,Burglary of private residential premises,57484,2004,10396421.0,552.921048503134,8.4,13.1
1322,Belgium,Burglary of private residential premises,56978,2005,10445852.0,545.4605330422066,8.5,12.9
1323,Belgium,Burglary of private residential premises,63615,2006,10511382.0,605.2011048594752,8.3,12.6
1324,Belgium,Burglary of private residential premises,62964,2007,10584534.0,594.8679460049918,7.5,12.1
1373,Czechia,Burglary of private residential premises,12752,1998,10299125.0,123.81634362142415,6.5,5.83333333333333
1374,Czechia,Burglary of private residential premises,12445,1999,10289621.0,120.94711748858388,8.8,5.83333333333333
1375,Czechia,Burglary of private residential premises,11294,2000,10278098.0,109.8841439340236,8.8,5.83333333333333
1376,Czechia,Burglary of private residential premises,10590,2001,10232027.0,103.49855409881151,8.2,5.83333333333333
1377,Czechia,Burglary of private residential premises,11933,2002,10201182.0,116.97664055008528,7.3,5.7
1378,Czechia,Burglary of private residential premises,12164,2003,10192649.0,119.34090931611595,7.8,6.5
1379,Czechia,Burglary of private residential premises,11670,2004,10195347.0,114.46398048050743,8.3,6.3
1380,Czechia,Burglary of private residential premises,10361,2005,10198855.0,101.58983532955415,7.9,6.2
1381,Czechia,Burglary of private residential premises,9603,2006,10223577.0,93.92994252403048,7.2,5.1
1382,Czechia,Burglary of private residential premises,9163,2007,10254233.0,89.35821918616438,5.3,5.2
1388,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,166742,1998,82057379.0,203.2017132791921,9.6,13.211111111111112
1389,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,149044,1999,82037011.0,181.6789741400988,8.7,14.9
1390,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,140015,2000,82163475.0,170.41027050036527,7.9,14.6
1391,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,133722,2001,82259540.0,162.56108410039735,8.0,12.3
1392,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,130055,2002,82440309.0,157.75656541995735,8.8,12.5
1393,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,123280,2003,82536680.0,149.36389493737815,9.9,12.8
1394,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,124155,2004,82531671.0,150.43315916867843,10.9,12.1
1395,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,109736,2005,82500849.0,133.01196451929846,11.2,13.5
1396,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,106107,2006,82437995.0,128.71128173362294,10.3,13.7
1397,Germany (until 1990 former territory of the FRG),Burglary of private residential premises,109128,2007,82314906.0,132.5738013963109,8.7,12.5
1433,Greece,Burglary of private residential premises,43228,1998,10693250.0,404.2550206906226,11.2,20.7
1434,Greece,Burglary of private residential premises,36947,1999,10747768.0,343.76439833833405,12.1,18.6
1435,Greece,Burglary of private residential premises,31840,2000,10775627.0,295.48164575481314,11.4,18.2
1436,Greece,Burglary of private residential premises,31903,2001,10835989.0,294.417057824625,10.8,16.9
1437,Greece,Burglary of private residential premises,31805,2002,10888274.0,292.1032295844135,10.4,16.2
1438,Greece,Burglary of private residential premises,31181,2003,10915770.0,285.650943543149,9.8,15.6
1439,Greece,Burglary of private residential premises,26489,2004,10940369.0,242.12163227766814,10.6,14.5
1440,Greece,Burglary of private residential premises,37595,2005,10969912.0,342.710132952753,10.0,13.3
1441,Greece,Burglary of private residential premises,42069,2006,11004716.0,382.28156001481545,9.0,15.1
1442,Greece,Burglary of private residential premises,49886,2007,11036008.0,452.0293932371198,8.4,14.3
1446,Spain,Burglary of private residential premises,89428,1998,40143449.0,222.77109273794588,18.6,29.6
1447,Spain,Burglary of private residential premises,91553,1999,40303568.0,227.15854834490088,15.7,29.5
1448,Spain,Burglary of private residential premises,90518,2000,40470182.0,223.6659079022674,13.9,29.1
1449,Spain,Burglary of private residential premises,99066,2001,40665545.0,243.6116373209802,10.6,29.7
1450,Spain,Burglary of private residential premises,93751,2002,41035278.0,228.46439592781607,11.5,30.9
1451,Spain,Burglary of private residential premises,88128,2003,41827838.0,210.69221889976717,11.5,31.7
1452,Spain,Burglary of private residential premises,81552,2004,42547451.0,191.67305698289658,11.0,32.2
1453,Spain,Burglary of private residential premises,81495,2005,43296338.0,188.22608045973774,9.2,31.0
1454,Spain,Burglary of private residential premises,80981,2006,44009971.0,184.00602899738334,8.5,30.3
1455,Spain,Burglary of private residential premises,72723,2007,44784666.0,162.3837051726589,8.2,30.8
1476,France,Burglary of private residential premises,207274,1998,59934884.0,345.83198659398425,8.620000000000001,14.9
1477,France,Burglary of private residential premises,191102,1999,60158533.0,317.6639962280995,8.620000000000001,14.7
1478,France,Burglary of private residential premises,186492,2000,60545022.0,308.02202037353294,8.620000000000001,13.3
1479,France,Burglary of private residential premises,210850,2001,60979315.0,345.77298875856513,8.620000000000001,13.5
1480,France,Burglary of private residential premises,224223,2002,61424036.0,365.04113796755394,8.620000000000001,13.4
1481,France,Burglary of private residential premises,216797,2003,61864088.0,350.4407920795664,8.5,12.7
1482,France,Burglary of private residential premises,202880,2004,62292241.0,325.6906425954398,8.9,12.3
1483,France,Burglary of private residential premises,181503,2005,62772870.0,289.1424272938293,8.9,12.5
1484,France,Burglary of private residential premises,177840,2006,63229635.0,281.260519691439,8.8,12.7
1485,France,Burglary of private residential premises,165780,2007,63645065.0,260.4758122251898,8.0,12.8
1499,Hungary,Burglary of private residential premises,30525,1998,10279724.0,296.943770085656,8.5,15.9
1500,Hungary,Burglary of private residential premises,29902,1999,10253416.0,291.62963835662185,7.0,13.0
1501,Hungary,Burglary of private residential premises,26866,2000,10221644.0,262.8344325042038,6.4,13.9
1502,Hungary,Burglary of private residential premises,26194,2001,10200298.0,256.79641908501105,5.7,13.1
1503,Hungary,Burglary of private residential premises,22907,2002,10174853.0,225.13347367278917,5.8,12.2
1504,Hungary,Burglary of private residential premises,19366,2003,10142362.0,190.9417155490999,5.9,12.0
1505,Hungary,Burglary of private residential premises,18671,2004,10116742.0,184.55546261830142,6.1,12.6
1506,Hungary,Burglary of private residential premises,17786,2005,10097549.0,176.14175479613917,7.2,12.5
1507,Hungary,Burglary of private residential premises,16856,2006,10076581.0,167.27896098885128,7.5,12.5
1508,Hungary,Burglary of private residential premises,17415,2007,10066158.0,173.00543067176176,7.4,11.4
1537,Italy,Burglary of private residential premises,246804,1998,56904379.0,433.7170606852594,11.9,28.4
1538,Italy,Burglary of private residential premises,234252,1999,56909109.0,411.6247892758258,11.4,27.2
1539,Italy,Burglary of private residential premises,207317,2000,56923524.0,364.2026800730046,10.6,25.1
1540,Italy,Burglary of private residential premises,183496,2001,56960692.0,322.14496270515815,9.6,25.9
1541,Italy,Burglary of private residential premises,169430,2002,56987507.0,297.31077725509203,9.0,24.2
1542,Italy,Burglary of private residential premises,173097,2003,57130506.0,302.9852387444284,8.7,23.0
1543,Italy,Burglary of private residential premises,112112,2004,57495900.0,194.99129503147182,8.0,23.1
1544,Italy,Burglary of private residential premises,122250,2005,57874753.0,211.23200301174504,7.7,22.1
1545,Italy,Burglary of private residential premises,143726,2006,58064214.0,247.52939908908436,6.8,20.4
1546,Italy,Burglary of private residential premises,169367,2007,58223744.0,290.8899159765473,6.1,19.5
1608,Netherlands,Burglary of private residential premises,90613,1998,15654192.0,578.8417568917004,4.4,15.5
1609,Netherlands,Burglary of private residential premises,92252,1999,15760225.0,585.3469731555228,3.6,16.2
1610,Netherlands,Burglary of private residential premises,91420,2000,15863950.0,576.2751395459517,2.9,15.4
1611,Netherlands,Burglary of private residential premises,90284,2001,15987075.0,564.7311969200119,2.3,15.1
1612,Netherlands,Burglary of private residential premises,101920,2002,16105285.0,632.8357430495641,2.8,15.3
1613,Netherlands,Burglary of private residential premises,103577,2003,16192572.0,639.6574923366096,3.7,14.3
1614,Netherlands,Burglary of private residential premises,95952,2004,16258032.0,590.1821327452178,4.6,14.1
1615,Netherlands,Burglary of private residential premises,96015,2005,16305526.0,588.849448953686,5.9,14.3
1616,Netherlands,Burglary of private residential premises,95165,2006,16334210.0,582.6115863577119,5.0,12.9
1617,Netherlands,Burglary of private residential premises,89415,2007,16357992.0,546.6135452322021,4.2,11.9
1637,Poland,Burglary of private residential premises,74137,1998,38659979.0,191.76678807818288,10.3,5.985714285714286
1638,Poland,Burglary of private residential premises,74326,1999,38666983.0,192.22084122777306,13.2,5.985714285714286
1639,Poland,Burglary of private residential premises,77397,2000,38263303.0,202.27474873248656,16.2,5.985714285714286
1640,Poland,Burglary of private residential premises,72167,2001,38253955.0,188.65238901441694,18.3,7.4
1641,Poland,Burglary of private residential premises,67290,2002,38242197.0,175.9574639500968,20.0,7.2
1642,Poland,Burglary of private residential premises,65172,2003,38218531.0,170.5246075522892,19.7,6.0
1643,Poland,Burglary of private residential premises,66795,2004,38190608.0,174.89902229364876,19.0,5.6
1644,Poland,Burglary of private residential premises,59325,2005,38173835.0,155.4074931166858,17.8,5.3
1645,Poland,Burglary of private residential premises,46610,2006,38157055.0,122.15303303674771,13.9,5.4
1646,Poland,Burglary of private residential premises,37644,2007,38125479.0,98.73712012903496,9.6,5.0
1652,Portugal,Burglary of private residential premises,21515,1998,10133758.0,212.3101814746316,5.1,46.6
1653,Portugal,Burglary of private residential premises,22224,1999,10186634.0,218.16823889029487,4.6,44.9
1654,Portugal,Burglary of private residential premises,21153,2000,10249022.0,206.39042437415006,4.1,43.7
1655,Portugal,Burglary of private residential premises,20806,2001,10330774.0,201.39826890027794,4.1,44.3
1656,Portugal,Burglary of private residential premises,19989,2002,10394669.0,192.30049557133566,5.1,45.0
1657,Portugal,Burglary of private residential premises,21963,2003,10444592.0,210.2810717737945,6.4,41.2
1658,Portugal,Burglary of private residential premises,22587,2004,10473050.0,215.66783315271098,6.7,39.3
1659,Portugal,Burglary of private residential premises,21840,2005,10494672.0,208.10559872666815,7.7,38.3
1660,Portugal,Burglary of private residential premises,23314,2006,10511988.0,221.78488027193336,7.8,38.5
1661,Portugal,Burglary of private residential premises,22324,2007,10532588.0,211.951706456191,8.1,36.5
1667,Romania,Burglary of private residential premises,29404,1998,22526093.0,130.53306669736293,6.4,19.1
1668,Romania,Burglary of private residential premises,21287,1999,22488595.0,94.6568694042469,7.1,21.5
1669,Romania,Burglary of private residential premises,19024,2000,22455485.0,84.71872239677745,7.3,22.9
1670,Romania,Burglary of private residential premises,17551,2001,22430457.0,78.24628807161619,6.8,21.7
1671,Romania,Burglary of private residential premises,12001,2002,21833483.0,54.966035423665566,8.6,23.0
1672,Romania,Burglary of private residential premises,10063,2003,21627509.0,46.52870564058024,7.0,22.5
1673,Romania,Burglary of private residential premises,10002,2004,21521142.0,46.475228870289506,8.1,22.4
1674,Romania,Burglary of private residential premises,9135,2005,21382354.0,42.72214368913731,7.2,19.6
1675,Romania,Burglary of private residential premises,9165,2006,21257016.0,43.11517665508649,7.3,17.9
1676,Romania,Burglary of private residential premises,10829,2007,21130503.0,51.24818846006648,6.4,17.3
1690,Sweden,Burglary of private residential premises,17536,1998,8847625.0,198.2000819428943,8.8,8.911111111111111
1691,Sweden,Burglary of private residential premises,16834,1999,8854322.0,190.12184106247773,7.3,6.9
1692,Sweden,Burglary of private residential premises,17581,2000,8861426.0,198.3992192678695,5.5,7.3
1693,Sweden,Burglary of private residential premises,15169,2001,8882792.0,170.76838003186384,4.9,10.2
1694,Sweden,Burglary of private residential premises,16562,2002,8909128.0,185.89922605220175,5.1,10.0
1695,Sweden,Burglary of private residential premises,17344,2003,8940788.0,193.98737560939819,5.7,9.2
1696,Sweden,Burglary of private residential premises,17573,2004,8975670.0,195.78482720510002,6.5,9.2
1697,Sweden,Burglary of private residential premises,16654,2005,9011392.0,184.81051540095027,7.5,10.8
1698,Sweden,Burglary of private residential premises,15005,2006,9047752.0,165.84229983315194,7.1,8.6
1699,Sweden,Burglary of private residential premises,16936,2007,9113257.0,185.83915717509117,6.2,8.0
1747,Belgium,Theft of a motorized land vehicle,54146,2000,10239085.0,528.8167839216102,7.0,13.8
1748,Belgium,Theft of a motorized land vehicle,49822,2001,10263414.0,485.4330147843593,6.6,13.8
1749,Belgium,Theft of a motorized land vehicle,45263,2002,10309725.0,439.0320789351801,7.5,14.1
1750,Belgium,Theft of a motorized land vehicle,36222,2003,10355844.0,349.7735191839506,8.2,14.3
1751,Belgium,Theft of a motorized land vehicle,29878,2004,10396421.0,287.38736147757004,8.4,13.1
1752,Belgium,Theft of a motorized land vehicle,26769,2005,10445852.0,256.2644004529262,8.5,12.9
1753,Belgium,Theft of a motorized land vehicle,26754,2006,10511382.0,254.524095880066,8.3,12.6
1754,Belgium,Theft of a motorized land vehicle,24884,2007,10584534.0,235.09773788812998,7.5,12.1
1788,Czechia,Theft of a motorized land vehicle,29779,1998,10299125.0,289.1410678091586,6.5,5.83333333333333
1789,Czechia,Theft of a motorized land vehicle,28946,1999,10289621.0,281.31259645034544,8.8,5.83333333333333
1790,Czechia,Theft of a motorized land vehicle,25539,2000,10278098.0,248.47982574207796,8.8,5.83333333333333
1791,Czechia,Theft of a motorized land vehicle,23539,2001,10232027.0,230.0521685488125,8.2,5.83333333333333
1792,Czechia,Theft of a motorized land vehicle,26143,2002,10201182.0,256.27422390856276,7.3,5.7
1793,Czechia,Theft of a motorized land vehicle,25331,2003,10192649.0,248.52224382493696,7.8,6.5
1794,Czechia,Theft of a motorized land vehicle,24230,2004,10195347.0,237.6574333369919,8.3,6.3
1795,Czechia,Theft of a motorized land vehicle,23040,2005,10198855.0,225.90771218926045,7.9,6.2
1796,Czechia,Theft of a motorized land vehicle,20996,2006,10223577.0,205.36843415959012,7.2,5.1
1797,Czechia,Theft of a motorized land vehicle,20329,2007,10254233.0,198.24983497059213,5.3,5.2
1803,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,162518,1998,82057379.0,198.05409578095347,9.6,13.211111111111112
1804,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,140636,1999,82037011.0,171.4299415418731,8.7,14.9
1805,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,127750,2000,82163475.0,155.48271296947942,7.9,14.6
1806,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,121533,2001,82259540.0,147.74334988987295,8.0,12.3
1807,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,116230,2002,82440309.0,140.98685632049245,8.8,12.5
1808,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,109846,2003,82536680.0,133.08749515972778,9.9,12.8
1809,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,107920,2004,82531671.0,130.76192289866518,10.9,12.1
1810,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,96451,2005,82500849.0,116.90909992938374,11.2,13.5
1811,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,90224,2006,82437995.0,109.44468021086637,10.3,13.7
1812,Germany (until 1990 former territory of the FRG),Theft of a motorized land vehicle,92628,2007,82314906.0,112.52882922565689,8.7,12.5
1845,Greece,Theft of a motorized land vehicle,7610,1998,10693250.0,71.16639001239099,11.2,20.7
1846,Greece,Theft of a motorized land vehicle,7239,1999,10747768.0,67.3535193539719,12.1,18.6
1847,Greece,Theft of a motorized land vehicle,5585,2000,10775627.0,51.829930638838924,11.4,18.2
1848,Greece,Theft of a motorized land vehicle,5700,2001,10835989.0,52.60248972198108,10.8,16.9
1849,Greece,Theft of a motorized land vehicle,5385,2002,10888274.0,49.456874432072524,10.4,16.2
1850,Greece,Theft of a motorized land vehicle,5865,2003,10915770.0,53.72960404992043,9.8,15.6
1851,Greece,Theft of a motorized land vehicle,5568,2004,10940369.0,50.89407861837201,10.6,14.5
1852,Greece,Theft of a motorized land vehicle,17552,2005,10969912.0,160.00128351075196,10.0,13.3
1853,Greece,Theft of a motorized land vehicle,20216,2006,11004716.0,183.7030596700542,9.0,15.1
1854,Greece,Theft of a motorized land vehicle,22516,2007,11036008.0,204.02304891406385,8.4,14.3
1859,Spain,Theft of a motorized land vehicle,147620,1998,40143449.0,367.731233058724,18.6,29.6
1860,Spain,Theft of a motorized land vehicle,148881,1999,40303568.0,369.39905667905134,15.7,29.5
1861,Spain,Theft of a motorized land vehicle,144509,2000,40470182.0,357.0752412232789,13.9,29.1
1862,Spain,Theft of a motorized land vehicle,158898,2001,40665545.0,390.7435643614269,10.6,29.7
1863,Spain,Theft of a motorized land vehicle,156232,2002,41035278.0,380.7260669709609,11.5,30.9
1864,Spain,Theft of a motorized land vehicle,138829,2003,41827838.0,331.90575138021717,11.5,31.7
1865,Spain,Theft of a motorized land vehicle,126902,2004,42547451.0,298.25993571271755,11.0,32.2
1866,Spain,Theft of a motorized land vehicle,120946,2005,43296338.0,279.3446411102944,9.2,31.0
1867,Spain,Theft of a motorized land vehicle,117663,2006,44009971.0,267.3553227290243,8.5,30.3
1868,Spain,Theft of a motorized land vehicle,107786,2007,44784666.0,240.67612785143916,8.2,30.8
1888,France,Theft of a motorized land vehicle,415930,1998,59934884.0,693.9698089680127,8.620000000000001,14.9
1889,France,Theft of a motorized land vehicle,395947,1999,60158533.0,658.1726319689345,8.620000000000001,14.7
1890,France,Theft of a motorized land vehicle,401057,2000,60545022.0,662.4111888174721,8.620000000000001,13.3
1891,France,Theft of a motorized land vehicle,418983,2001,60979315.0,687.0903682666819,8.620000000000001,13.5
1892,France,Theft of a motorized land vehicle,382148,2002,61424036.0,622.1473300777566,8.620000000000001,13.4
1893,France,Theft of a motorized land vehicle,328678,2003,61864088.0,531.2904637016551,8.5,12.7
1894,France,Theft of a motorized land vehicle,285680,2004,62292241.0,458.6124939701559,8.9,12.3
1895,France,Theft of a motorized land vehicle,260538,2005,62772870.0,415.0487304467678,8.9,12.5
1896,France,Theft of a motorized land vehicle,243153,2006,63229635.0,384.55543828459554,8.8,12.7
1897,France,Theft of a motorized land vehicle,224658,2007,63645065.0,352.98573424349553,8.0,12.8
1911,Hungary,Theft of a motorized land vehicle,21011,1998,10279724.0,204.3926471177631,8.5,15.9
1912,Hungary,Theft of a motorized land vehicle,16822,1999,10253416.0,164.06239637599802,7.0,13.0
1913,Hungary,Theft of a motorized land vehicle,14470,2000,10221644.0,141.5623553314907,6.4,13.9
1914,Hungary,Theft of a motorized land vehicle,12585,2001,10200298.0,123.37874834637185,5.7,13.1
1915,Hungary,Theft of a motorized land vehicle,11569,2002,10174853.0,113.70188837126197,5.8,12.2
1916,Hungary,Theft of a motorized land vehicle,12240,2003,10142362.0,120.68194765676871,5.9,12.0
1917,Hungary,Theft of a motorized land vehicle,10969,2004,10116742.0,108.42423380965927,6.1,12.6
1918,Hungary,Theft of a motorized land vehicle,10770,2005,10097549.0,106.65954678704705,7.2,12.5
1919,Hungary,Theft of a motorized land vehicle,10058,2006,10076581.0,99.81560213727255,7.5,12.5
1920,Hungary,Theft of a motorized land vehicle,15017,2007,10066158.0,149.18303487785508,7.4,11.4
1941,Italy,Theft of a motorized land vehicle,309113,1998,56904379.0,543.214784928942,11.9,28.4
1942,Italy,Theft of a motorized land vehicle,294726,1999,56909109.0,517.8889727477547,11.4,27.2
1943,Italy,Theft of a motorized land vehicle,243890,2000,56923524.0,428.4520403199212,10.6,25.1
1944,Italy,Theft of a motorized land vehicle,235946,2001,56960692.0,414.22600694528086,9.6,25.9
1945,Italy,Theft of a motorized land vehicle,232564,2002,56987507.0,408.0964622649662,9.0,24.2
1946,Italy,Theft of a motorized land vehicle,221543,2003,57130506.0,387.78406758728863,8.7,23.0
1947,Italy,Theft of a motorized land vehicle,270129,2004,57495900.0,469.8230656446808,8.0,23.1
1948,Italy,Theft of a motorized land vehicle,265975,2005,57874753.0,459.5699959186003,7.7,22.1
1949,Italy,Theft of a motorized land vehicle,280167,2006,58064214.0,482.51234400589664,6.8,20.4
1950,Italy,Theft of a motorized land vehicle,277549,2007,58223744.0,476.6938381702146,6.1,19.5
2023,Netherlands,Theft of a motorized land vehicle,45770,1998,15654192.0,292.3817466912377,4.4,15.5
2024,Netherlands,Theft of a motorized land vehicle,46079,1999,15760225.0,292.37526748507713,3.6,16.2
2025,Netherlands,Theft of a motorized land vehicle,46634,2000,15863950.0,293.9620964513882,2.9,15.4
2026,Netherlands,Theft of a motorized land vehicle,43068,2001,15987075.0,269.39261872481364,2.3,15.1
2027,Netherlands,Theft of a motorized land vehicle,42428,2002,16105285.0,263.4414727836235,2.8,15.3
2028,Netherlands,Theft of a motorized land vehicle,34271,2003,16192572.0,211.64642652198796,3.7,14.3
2029,Netherlands,Theft of a motorized land vehicle,30652,2004,16258032.0,188.5345040531351,4.6,14.1
2030,Netherlands,Theft of a motorized land vehicle,27425,2005,16305526.0,168.1945127069191,5.9,14.3
2031,Netherlands,Theft of a motorized land vehicle,23825,2006,16334210.0,145.85951815239306,5.0,12.9
2032,Netherlands,Theft of a motorized land vehicle,21425,2007,16357992.0,130.9757334518809,4.2,11.9
2053,Poland,Theft of a motorized land vehicle,61151,1998,38659979.0,158.17649564682898,10.3,5.985714285714286
2054,Poland,Theft of a motorized land vehicle,71543,1999,38666983.0,185.02348631647834,13.2,5.985714285714286
2055,Poland,Theft of a motorized land vehicle,68062,2000,38263303.0,177.87800493856997,16.2,5.985714285714286
2056,Poland,Theft of a motorized land vehicle,59458,2001,38253955.0,155.42968040820875,18.3,7.4
2057,Poland,Theft of a motorized land vehicle,53674,2002,38242197.0,140.35281498079203,20.0,7.2
2058,Poland,Theft of a motorized land vehicle,54291,2003,38218531.0,142.05412552355818,19.7,6.0
2059,Poland,Theft of a motorized land vehicle,51150,2004,38190608.0,133.93345295785812,19.0,5.6
2060,Poland,Theft of a motorized land vehicle,45292,2005,38173835.0,118.64671181189942,17.8,5.3
2061,Poland,Theft of a motorized land vehicle,30529,2006,38157055.0,80.00879522803842,13.9,5.4
2062,Poland,Theft of a motorized land vehicle,21284,2007,38125479.0,55.826183849388485,9.6,5.0
2068,Portugal,Theft of a motorized land vehicle,26965,1998,10133758.0,266.09082237803585,5.1,46.6
2069,Portugal,Theft of a motorized land vehicle,28163,1999,10186634.0,276.47012742383794,4.6,44.9
2070,Portugal,Theft of a motorized land vehicle,26428,2000,10249022.0,257.8587498397408,4.1,43.7
2071,Portugal,Theft of a motorized land vehicle,26162,2001,10330774.0,253.24336782510198,4.1,44.3
2072,Portugal,Theft of a motorized land vehicle,30250,2002,10394669.0,291.0145575583022,5.1,45.0
2073,Portugal,Theft of a motorized land vehicle,29934,2003,10444592.0,286.5980786994839,6.4,41.2
2074,Portugal,Theft of a motorized land vehicle,29237,2004,10473050.0,279.1641403411613,6.7,39.3
2075,Portugal,Theft of a motorized land vehicle,25716,2005,10494672.0,245.03862531387355,7.7,38.3
2076,Portugal,Theft of a motorized land vehicle,24495,2006,10511988.0,233.0196723968863,7.8,38.5
2077,Portugal,Theft of a motorized land vehicle,23957,2007,10532588.0,227.45596808685576,8.1,36.5
2083,Romania,Theft of a motorized land vehicle,2284,1998,22526093.0,10.139352616541181,6.4,19.1
2084,Romania,Theft of a motorized land vehicle,2331,1999,22488595.0,10.365254032099381,7.1,21.5
2085,Romania,Theft of a motorized land vehicle,2149,2000,22455485.0,9.570044913302919,7.3,22.9
2086,Romania,Theft of a motorized land vehicle,1952,2001,22430457.0,8.702453097589585,6.8,21.7
2087,Romania,Theft of a motorized land vehicle,1297,2002,21833483.0,5.940417293933359,8.6,23.0
2088,Romania,Theft of a motorized land vehicle,1127,2003,21627509.0,5.210956102249224,7.0,22.5
2089,Romania,Theft of a motorized land vehicle,1120,2004,21521142.0,5.204184796513122,8.1,22.4
2090,Romania,Theft of a motorized land vehicle,1082,2005,21382354.0,5.060247342271108,7.2,19.6
2091,Romania,Theft of a motorized land vehicle,1266,2006,21257016.0,5.95568070325581,7.3,17.9
2092,Romania,Theft of a motorized land vehicle,1817,2007,21130503.0,8.598943432629124,6.4,17.3
2106,Sweden,Theft of a motorized land vehicle,76495,1998,8847625.0,864.5823031604527,8.8,8.911111111111111
2107,Sweden,Theft of a motorized land vehicle,78216,1999,8854322.0,883.3652085388355,7.3,6.9
2108,Sweden,Theft of a motorized land vehicle,75125,2000,8861426.0,847.7755160399691,5.5,7.3
2109,Sweden,Theft of a motorized land vehicle,73309,2001,8882792.0,825.2923180009168,4.9,10.2
2110,Sweden,Theft of a motorized land vehicle,75593,2002,8909128.0,848.4893246566892,5.1,10.0
2111,Sweden,Theft of a motorized land vehicle,67199,2003,8940788.0,751.6004182181704,5.7,9.2
2112,Sweden,Theft of a motorized land vehicle,60980,2004,8975670.0,679.3921790796676,6.5,9.2
2113,Sweden,Theft of a motorized land vehicle,56719,2005,9011392.0,629.4144123349645,7.5,10.8
2114,Sweden,Theft of a motorized land vehicle,51639,2006,9047752.0,570.7384552538575,7.1,8.6
2115,Sweden,Theft of a motorized land vehicle,49249,2007,9113257.0,540.4105250186624,6.2,8.0
2173,Belgium,Unlawful acts involving controlled drugs or precursors,11893,2000,10239085.0,116.15295702692184,7.0,13.8
2174,Belgium,Unlawful acts involving controlled drugs or precursors,10847,2001,10263414.0,105.6860806745202,6.6,13.8
2175,Belgium,Unlawful acts involving controlled drugs or precursors,10862,2002,10309725.0,105.35683541510564,7.5,14.1
2176,Belgium,Unlawful acts involving controlled drugs or precursors,10976,2003,10355844.0,105.98846409814593,8.2,14.3
2177,Belgium,Unlawful acts involving controlled drugs or precursors,12228,2004,10396421.0,117.61739929539215,8.4,13.1
2178,Belgium,Unlawful acts involving controlled drugs or precursors,12874,2005,10445852.0,123.24509288471636,8.5,12.9
2179,Belgium,Unlawful acts involving controlled drugs or precursors,13202,2006,10511382.0,125.59718598372697,8.3,12.6
2180,Belgium,Unlawful acts involving controlled drugs or precursors,14220,2007,10584534.0,134.34696322010964,7.5,12.1
2220,Czechia,Unlawful acts involving controlled drugs or precursors,4336,2000,10278098.0,42.18679370443831,8.8,5.83333333333333
2221,Czechia,Unlawful acts involving controlled drugs or precursors,4052,2001,10232027.0,39.60114647860097,8.2,5.83333333333333
2222,Czechia,Unlawful acts involving controlled drugs or precursors,4114,2002,10201182.0,40.32865995332698,7.3,5.7
2223,Czechia,Unlawful acts involving controlled drugs or precursors,3497,2003,10192649.0,34.30903977955093,7.8,6.5
2224,Czechia,Unlawful acts involving controlled drugs or precursors,2803,2004,10195347.0,27.492933786363526,8.3,6.3
2225,Czechia,Unlawful acts involving controlled drugs or precursors,2706,2005,10198855.0,26.53239015556158,7.9,6.2
2226,Czechia,Unlawful acts involving controlled drugs or precursors,2668,2006,10223577.0,26.096541357295983,7.2,5.1
2227,Czechia,Unlawful acts involving controlled drugs or precursors,2639,2007,10254233.0,25.735713241546197,5.3,5.2
2232,Germany (until 1990 former territory of the FRG),Unlawful acts involving controlled drugs or precursors,68994,1998,82057379.0,84.08018979012235,9.6,13.211111111111112
2233,Germany (until 1990 former territory of the FRG),Unlawful acts involving controlled drugs or precursors,73271,1999,82037011.0,89.31456559283956,8.7,14.9
